hotel_410,KOKO HOTEL Tsukiji Ginza,"Tokyo-to, Tokyo, 6-8-8 Tsukiji, Chuo-ku, Japan",Tokyo
hotel_411,"The Prince Park Tower Tokyo - Preferred Hotels & Resorts, LVX Collection","Tokyo-to, Tokyo, Minato-ku, Shiba Koen 4-8-1 , Japan",Tokyo
hotel_412,hotel MONday Tokyo Nishikasai,"Tokyo-to, Tokyo, Edogawa-ku Nishikasai 6-8-7, Japan",Tokyo
hotel_413,Richmond Hotel Premier Tokyo Schole,"Tokyo-to, Tokyo, Sumida-ku Oshiage 1, Japan",Tokyo
hotel_414,Best Western Hotel Fino Tokyo Akasaka,"Tokyo-to, Tokyo, Minato-ku, Akasaka 3-7-12, Japan",Tokyo
hotel_415,Grand Prince Hotel Shin Takanawa,"Tokyo-to, Tokyo, Minato-ku, Takanawa 3-13-1, Japan",Tokyo
hotel_416,Hotel Resol Akihabara,"Tokyo-to, Tokyo, Chiyoda-ku Kanda Sudacho 2-25, Japan",Tokyo
hotel_417,Hotel Wing International Premium Tokyo Yotsuya,"Tokyo-to, Tokyo, Shinjuku-ku Yotsuya3-14-1, Japan",Tokyo
hotel_418,ICI HOTEL Asakusabashi,"Tokyo-to, Tokyo, Taito-ku Asakusabashi 1-26-6, Japan",Tokyo
hotel_419,MIMARU Tokyo Kinshicho,"Tokyo-to, Tokyo, Sumida-ku Kotobashi 4-11-5, Japan",Tokyo
hotel_420,Hotel Gracery Shinjuku,"Tokyo-to, Tokyo, Shinjuku-ku Kabukicho 1-19-1, Japan",Tokyo
hotel_421,"Mandarin Oriental, Tokyo","Tokyo-to, Tokyo, Chuo-ku Nihonbashi Muromachi 2-1-1, Japan",Tokyo
hotel_422,THE KITANO HOTEL TOKYO,"Tokyo-to, Tokyo, Chiyoda-ku Hirakawacho 2-16-15 , Japan",Tokyo
hotel_423,Minn Nishi Kasai,"Tokyo-to, Tokyo, Edogawa-ku Nishikasai 3-13-17, Japan",Tokyo
hotel_424,hotel MONday Premium Ueno Okachimachi,"Tokyo-to, Tokyo, Taito-ku, Taito 3-41-7, Japan",Tokyo
hotel_425,Tokyo Bay Shiomi Prince Hotel,"Tokyo-to, Tokyo, Koto-ku Shiomi 2-8-16, Japan",Tokyo
hotel_426,Minn Kasai,"Tokyo-to, Tokyo, Edogawa-ku Nakakasai 3-32-13, Japan",Tokyo
hotel_427,Hotel BaliAn Resort Shinjuku Glamping,"Tokyo-to, Tokyo, 新宿区歌舞伎町2-29-11, Japan",Tokyo
hotel_428,HOTEL PetitBali Higashi-Shinjuku,"Tokyo-to, Tokyo, Shinjuku-ku Kabukicho 2-5-1 , Japan",Tokyo
hotel_429,Candeo Hotels Tokyo Roppongi,"Tokyo-to, Tokyo, Minato-ku Roppongi 6-7-11, Japan",Tokyo
hotel_430,Hotel Tokyo Trip Ueno Nishi Nippori,"Tokyo-to, Tokyo, Arakawa-ku, Nishinippori 5-18-14, Japan",Tokyo
hotel_431,Grand Prince Hotel Takanawa,"Tokyo-to, Tokyo, Minato-ku, Takanawa 3-13-1, Japan",Tokyo
hotel_432,ICI HOTEL Ueno Shin Okachimachi,"Tokyo-to, Tokyo, Taito-ku Taito 4-23-11, Japan",Tokyo
hotel_433,MONday Apart Premium UENO OKACHIMACHI,"Tokyo-to, Tokyo, Taito-ku Ueno 3-8-8, Japan",Tokyo
hotel_434,KOKO HOTEL Ginza-1chome,"Tokyo-to, Tokyo, Chuo-ku Ginza1-9-5, Japan",Tokyo
hotel_435,KOKO HOTEL Premier Nihonbashi Hamacho,"Tokyo-to, Tokyo, Chuo-ku Nihonbashihamacho 2-30-4, Japan",Tokyo
hotel_436,Hotel Balian Resort Shinjuku Honten,"Tokyo-to, Tokyo, Shinjuku-ku Kabukicho 2‐1-11, Japan",Tokyo
hotel_437,Minn Akihabara,"Tokyo-to, Tokyo, Taito-ku Taito 1-22-3, Japan",Tokyo
hotel_438,Asakusa View Hotel Annex Rokku,"Tokyo-to, Tokyo, Taito-ku Asakusa 2-9-10, Japan",Tokyo
hotel_439,Daiwa Roynet Hotel Tokyo Akabane,"Tokyo-to, Tokyo, Kita-ku, Akabane Minami 1-9-13, Japan",Tokyo
hotel_440,COGO Ryogoku,"Tokyo-to, Tokyo, Ryogoku 4-30-5, Japan",Tokyo
hotel_441,MONday Apart Premium UENO,"Tokyo-to, Tokyo, Taito-ku Kita-Ueno 1-7-6, Japan",Tokyo
hotel_442,DDD HOTEL,"Tokyo-to, Tokyo, Chuo-ku Nihonbashi Bakuracho 2-2-1, Japan",Tokyo
