hotel_id,hotel_name,hotel_address,hotel_city
hotel_677,Rove Healthcare City - Bur Dubai,19th Street  Oud Metha  Bur Dubai  Dubai,Dubai
hotel_678,Canopy by Hilton Dubai Al Seef,Al Seef Street Building A  Dubai  12331,Dubai
hotel_679,Pearl Swiss Hotel,Behind Commercial Bank Building  Al Rigga Rd  Deira  Dubai,Dubai
hotel_680,City Seasons Towers,Khalifa Bin Zayed Road  Mankhool  Next to Burjuman Mall  Dubai  5847,Dubai
hotel_681,Wescott Plaza Hotel Apartment,Kuwait St  Dubai  Dubai,Dubai
hotel_682,Smana Hotel Al Raffa,37  Al Raffa  Bur Dubai  Dubai  Dubai  Dubai,Dubai
hotel_683,Park Regis Kris Kin Hotel Dubai,Sheikh Khalifah Bin Zayed Street  Opp. Burjuman Centre  Dubai  8264,Dubai
hotel_684,Gulf Inn Hotel Deira Formerly City Star,139 Salah Al Din St  Dubai  Dubai,Dubai
hotel_685,Hampton by Hilton Dubai Al Seef,Al Seef Street  Dubai Creek  Dubai  12331,Dubai
hotel_686,Hafez Hotel Apartments,Next to E NBD Bank Bldg  Al Ras  Opp. Metro & Fire Station  Deira  Dubai  83163,Dubai
hotel_687,Rose Garden Hotel Apartments - Bur Dubai,Behind Burjman Shopping Mall  Near Burjuman metro station  Dubai  Bur Dubai  45113,Dubai
hotel_688,Azur Regency Hotel Apartment,10 B Street  317 Community  Al Mankhool  Bur Dubai  Dubai,Dubai
hotel_689,Four Points by Sheraton Bur Dubai,Mankhool Road  4c Street  Bur Dubai  Dubai,Dubai
hotel_690,Manhattan Avenue Hotel,Al Mankhool Road  Near Al Fahidi Metro Station  Dubai  24607,Dubai
hotel_691,Edge Creekside Hotel,Rigga Al Buteen Street  Dubai,Dubai
hotel_692,Fortune Hotel Deira,Omar Al Khattab Street  opp DEWA office  Deira  Dubai  49185,Dubai
hotel_693,Garden City Hotel,35 A  Naif  Dubai,Dubai
hotel_694,Landmark Summit Hotel,34 B Street  Behind Commercial Bank Building  Deira  Dubai  64264,Dubai
hotel_695,Raviz Center Point Hotel,Khalid Bin Al Waleed Street  Bank Street  Dubai  33382,Dubai
hotel_696,Fortune Atrium Hotel,Khalid Bin Al Waleed Rd  Dubai  Dubai,Dubai
hotel_697,Marriott Marquis Dubai,Jewel of the Creek  Port Saeed  Dubai,Dubai
