image_id,hotel_id,image_path
hotelimage_798,hotel_798,new_hotels_images/hotel_798.jpg
hotelimage_799,hotel_799,new_hotels_images/hotel_799.jpg
hotelimage_800,hotel_800,new_hotels_images/hotel_800.jpg
hotelimage_801,hotel_801,new_hotels_images/hotel_801.jpg
hotelimage_802,hotel_802,new_hotels_images/hotel_802.jpg
hotelimage_803,hotel_803,new_hotels_images/hotel_803.jpg
hotelimage_804,hotel_804,new_hotels_images/hotel_804.jpg
hotelimage_805,hotel_805,new_hotels_images/hotel_805.jpg
hotelimage_806,hotel_806,new_hotels_images/hotel_806.jpg
hotelimage_807,hotel_807,new_hotels_images/hotel_807.jpg
hotelimage_808,hotel_808,new_hotels_images/hotel_808.jpg
hotelimage_809,hotel_809,new_hotels_images/hotel_809.jpg
hotelimage_810,hotel_810,new_hotels_images/hotel_810.jpg
hotelimage_811,hotel_811,new_hotels_images/hotel_811.jpg
hotelimage_812,hotel_812,new_hotels_images/hotel_812.jpg
hotelimage_813,hotel_813,new_hotels_images/hotel_813.jpg
hotelimage_814,hotel_814,new_hotels_images/hotel_814.jpg
hotelimage_815,hotel_815,new_hotels_images/hotel_815.jpg
hotelimage_816,hotel_816,new_hotels_images/hotel_816.jpg
hotelimage_817,hotel_817,new_hotels_images/hotel_817.jpg
hotelimage_818,hotel_818,new_hotels_images/hotel_818.jpg
hotelimage_819,hotel_819,new_hotels_images/hotel_819.jpg
hotelimage_820,hotel_820,new_hotels_images/hotel_820.jpg
hotelimage_821,hotel_821,new_hotels_images/hotel_821.jpg
hotelimage_822,hotel_822,new_hotels_images/hotel_822.jpg
hotelimage_823,hotel_823,new_hotels_images/hotel_823.jpg
hotelimage_824,hotel_824,new_hotels_images/hotel_824.jpg
hotelimage_825,hotel_825,new_hotels_images/hotel_825.jpg
hotelimage_826,hotel_826,new_hotels_images/hotel_826.jpg
hotelimage_827,hotel_827,new_hotels_images/hotel_827.jpg
hotelimage_828,hotel_828,new_hotels_images/hotel_828.jpg
hotelimage_829,hotel_829,new_hotels_images/hotel_829.jpg
hotelimage_830,hotel_830,new_hotels_images/hotel_830.jpg
hotelimage_831,hotel_831,new_hotels_images/hotel_831.jpg
hotelimage_832,hotel_832,new_hotels_images/hotel_832.jpg
hotelimage_833,hotel_833,new_hotels_images/hotel_833.jpg
hotelimage_834,hotel_834,new_hotels_images/hotel_834.jpg
hotelimage_835,hotel_835,new_hotels_images/hotel_835.jpg
hotelimage_836,hotel_836,new_hotels_images/hotel_836.jpg
hotelimage_837,hotel_837,new_hotels_images/hotel_837.jpg
hotelimage_838,hotel_838,new_hotels_images/hotel_838.jpg
hotelimage_839,hotel_839,new_hotels_images/hotel_839.jpg
hotelimage_840,hotel_840,new_hotels_images/hotel_840.jpg
hotelimage_841,hotel_841,new_hotels_images/hotel_841.jpg
hotelimage_842,hotel_842,new_hotels_images/hotel_842.jpg
hotelimage_843,hotel_843,new_hotels_images/hotel_843.jpg
hotelimage_844,hotel_844,new_hotels_images/hotel_844.jpg
hotelimage_845,hotel_845,new_hotels_images/hotel_845.jpg
hotelimage_846,hotel_846,new_hotels_images/hotel_846.jpg
hotelimage_847,hotel_847,new_hotels_images/hotel_847.jpg
hotelimage_848,hotel_848,new_hotels_images/hotel_848.jpg
hotelimage_849,hotel_849,new_hotels_images/hotel_849.jpg
hotelimage_850,hotel_850,new_hotels_images/hotel_850.jpg
